team,possession_pct,passes_per_min,pressures_per_min,avg_shot_distance,total_xg,match_id,result
Russia,39.500171420788725,4.092826961046129,1.5506328950355182,17.95755756636013,1.281600942,7525,win
Saudi Arabia,60.49982857921128,6.033755210614397,1.2763712945530454,22.460623379009892,0.24880649999999999,7525,loss
Croatia,51.678487304651036,5.342538445644839,1.6994158077597896,18.852271485706755,1.6944666339999999,7529,win
Nigeria,48.321512695348964,4.514073239361941,1.6144450173718001,21.56632319265461,0.7623215977,7529,loss
Australia,45.66975699289982,4.650026133879985,1.1834525971361223,18.123790610461857,0.9800310619999999,7530,loss
France,54.33024300710018,5.7496944763516025,1.424332329296572,21.70074898839646,1.561557064,7530,win
Argentina,78.59818513532713,8.377477547334038,0.8840554195679136,21.632876611242693,2.0805182487,7531,draw
Iceland,21.401814864672875,2.3574811188477693,1.8523065933803902,16.847345047089743,1.0321244945,7531,draw
Denmark,46.360958903404175,4.226388601089309,1.7872787616546828,21.51279890991807,1.1215676380000001,7532,win
Peru,53.63904109659583,4.573330948939924,1.2721219421189214,19.412265884944762,1.926378192,7532,loss
Brazil,57.858709982297576,5.754276767710972,2.4261275020619233,18.110360633394357,1.882850749,7533,draw
Switzerland,42.141290017702424,4.748574341642568,2.7579056220020153,19.158252500025412,0.4721066513,7533,draw
Germany,64.1179297398455,6.644007084321927,1.7710196589872667,19.804001734188834,2.2992588492,7534,loss
Mexico,35.88207026015451,3.477638603102269,3.477638603102269,20.9508749395622,0.993288767,7534,win
Costa Rica,49.735343737478985,4.927437204089768,0.9936827625711174,18.921711928966346,0.5960217237000001,7535,loss
Serbia,50.264656262521,4.497182812048665,1.2907631761233072,16.974015067395083,1.992569004,7535,win
Belgium,63.68706339175378,6.4790227670841976,2.0392989693117474,19.901304429979096,1.212055155,7536,win
Panama,36.312936608246225,3.8661709626535212,2.5172596652441883,21.360589117126782,0.62535498,7536,loss
England,61.95550739426966,6.0168894509124975,1.984517924160613,13.935524180169981,2.626449745,7537,win
Tunisia,38.04449260573034,3.884588277080349,2.7973257973540555,22.283626239209227,0.945653212,7537,loss
South Korea,47.45135205634293,4.05520165546495,1.5711252487141694,20.186221500946992,0.414372021,7538,loss
Sweden,52.548647943657066,5.063694213761208,1.2208067810954695,18.92348044089838,2.015124456,7538,win
Poland,61.548043345431566,6.205799085511325,1.5700141276165405,18.220027796725514,1.0423233840000001,7539,loss
Senegal,38.451956654568434,4.05233376182107,2.344412987859834,18.26753264490508,1.428427444,7539,win
Egypt,52.77744553496968,5.143464344915364,1.742826761500247,18.27131479767031,1.697518253,7540,loss
Russia,47.22255446503032,4.962805473296435,1.955366610463692,20.212484580838748,0.981150797,7540,win
Colombia,41.302708431191455,4.431997152823415,2.60458600450286,16.6076177439901,0.806256029,7541,loss
Japan,58.69729156880854,6.616488640470975,1.80640642247779,15.224210121117808,2.32067396,7541,win
Morocco,57.15620707900067,5.457413191825308,1.261829639728395,17.405495141155473,1.4551028735,7542,loss
Portugal,42.84379292099932,4.1745530581014405,1.2828601337238683,20.917034420210538,0.884986243,7542,win
Iran,24.812691142664356,2.7827933852066553,2.708443943617165,17.14983968055915,0.426459236,7543,loss
Spain,75.18730885733564,8.667020619574927,1.4763674829913171,18.064723533134043,2.1969543835,7543,win
Saudi Arabia,50.81875338852478,6.211664532405625,1.8400992536064609,24.693082153331318,0.2734858323,7544,loss
Uruguay,49.181246611475224,5.435206465854922,2.5527388489338185,16.496347672100235,1.806805807,7544,win
Argentina,60.59745221602697,5.685440959772148,2.5079702177686483,16.022592997640935,1.218057943,7545,loss
Croatia,39.40254778397303,4.059511115201795,2.061636534945414,21.089915015667682,1.831710052,7545,win
